Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
3538,Vertebroplasty for the Treatment of Fractures Due to Osteoporosis,Completed,Has Results,Spinal Fractures|Osteoporosis,Wounds and Injuries,Device: Percutaneous vertebroplasty|Procedure: Sham vertebroplasty,Other|NIH,Interventional,2003-04-01,"Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT00068822
3547,Proof of Concept Study Comparing FX006 to Kenalog®-40 in Patients With Post-Traumatic Osteoarthritis of the Knee,Terminated,Has Results,Post-traumatic Osteoarthritis of the Knee,Skin and Connective Tissue Diseases,Drug: FX006 32 mg|Drug: TCA IR 40 mg,Industry,Interventional,2015-02-01,"San Antonio Military Medical Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT02468583
3548,"A Study Comparing 4 Dose Regimens of PLA-695, Naproxen, and Placebo In Subjects With Osteoarthritis Of The Knee",Terminated,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Drug: PLA-695,Industry,Interventional,2006-11-01,"Huntsville, Alabama, United States|Scottsdale, Arizona, United States|Tucson, Arizona, United States|Tucson, Arizona, United States|Palo Alto, California, United States|Rancho Mirage, California, United States|Santa Maria, California, United States|Upland, California, United States|Delray Beach, Florida, United States|Fort Lauderdale, Florida, United States|Ocala, Florida, United States|Palm Harbor, Florida, United States|South Miami, Florida, United States|Tampa, Florida, United States|Idaho Falls, Idaho, United States|Chicago, Illinois, United States|Wichita, Kansas, United States|Baltimore, Maryland, United States|Frederick, Maryland, United States|Fall River, Massachusetts, United States|Kalamazoo, Michigan, United States|St. Louis, Missouri, United States|Las Vegas, Nevada, United States|Dover, New Hampshire, United States|Mamaroneck, New York, United States|Syracuse, New York, United States|Charlotte, North Carolina, United States|Duncansville, Pennsylvania, United States|West Reading, Pennsylvania, United States|Willow Grove, Pennsylvania, United States|Charleston, South Carolina, United States|Dallas, Texas, United States|Dallas, Texas, United States|San Antonio, Texas, United States|Salt Lake City, Utah, United States|Seattle, Washington, United States|Spokane, Washington, United States|Tacoma, Washington, United States|Milwaukee, Wisconsin, United States|Capital Federal, Buenos Aires, Argentina|Capital Federal, Buenos Aires, Argentina|Cordoba-Capital, Cordoba, Argentina|San Miguel de Tucuman, Tucuman, Argentina|Sao Paulo, Brazil|Coquitlam, British Columbia, Canada|Kelowna, British Columbia, Canada|Langley, British Columbia, Canada|Penticton, British Columbia, Canada|Winnipeg, Manitoba, Canada|Hamilton, Ontario, Canada|Kitchener, Ontario, Canada|London, Ontario, Canada|Ottawa, Ontario, Canada|Sarnia, Ontario, Canada|Toronto, Ontario, Canada|Montreal, Quebec, Canada|Montreal, Quebec, Canada|Montreal, Quebec, Canada|Pointe-Claire, Quebec, Canada|Trois-Rivieres, Quebec, Canada|Quebec, Canada|Hong Kong, Hong Kong|Bekescsaba, Hungary|Budapest, Hungary|Debrecen, Hungary|Kiskunhalas, Hungary|Nyiregyhaza, Hungary|Guadalajara, Jalisco, Mexico|Monterrey, Nuevo Leon, Mexico|Mexico City, Mexico|Almere, Netherlands|Geleen, Netherlands|Hertogenbosch, Netherlands|Nijmegen, Netherlands|Krakow, Poland|Krakow, Poland|Szczecin, Poland|Warszawa, Poland|Wroclaw, Poland|Guadalajara, Spain|La Coruna, Spain|Madrid, Spain|Sevilla, Spain",https://ClinicalTrials.gov/show/NCT00396955
3550,Intensive Diet and Exercise for Improving Knee Osteoarthritis in Obese and Overweight Older Adults,Completed,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Behavioral: Diet|Behavioral: Exercise,Other|NIH|Industry,Interventional,2006-10-01,"Wake Forest University/Wake Forest University Forest School of Medicine, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT00381290
2710,PROMIS Measures in Primary Care Practice,Completed,Has Results,Sleep|Pain|Anxiety|Depression|Fatigue,Behaviors and Mental Disorders,Other: Feedback Group,Other,Interventional,2015-03-01,"Indiana University, Indianapolis, Indiana, United States",https://ClinicalTrials.gov/show/NCT02383862
3553,Yoga for Managing Knee Osteoarthritis in Older Women: a Feasibility Study,Completed,Has Results,"Osteoarthritis, Knee|Quality of Life|Poor Quality Sleep|Physical Impairment",Skin and Connective Tissue Diseases,Behavioral: Hatha yoga|Behavioral: Hatha Yoga,Other,Interventional,2011-01-01,"University of Minnesota, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT01832155
3556,Developing a Method to Objectively Measure Opioid Analgesia,Recruiting,No Results Available,"Analgesics, Antipyretics and Anti-Inflammatory Drugs Causing Adverse Effects in Therapeutic Use","Muscle, Bone, and Cartilage Diseases",,Other,Observational,2018-07-01,"Children's National Health System, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT03605966
3558,A Policy Relevant US Trauma Care System Pragmatic Trial for PTSD and Comorbidity,Recruiting,No Results Available,Posttraumatic Stress Disorder|Depression|Alcohol-Related Disorders|Suicidal Ideation|Substance-Related Disorders|Mild Cognitive Impairment|Quality of Life|Pain|Wounds and Injury|Brain Injuries|Chronic Disease,Behaviors and Mental Disorders,Behavioral: Motivational Interviewing|Behavioral: Cognitive Behavioral Therapy Elements|Behavioral: Care Management|Drug: Fluoxetine|Drug: Fluvoxamine|Drug: Paroxetine|Drug: Setraline|Drug: Citalopram|Drug: Venlafaxine|Drug: Duloxetine|Drug: Mirtazapine|Drug: Diphenhydramine|Drug: Trazodone|Drug: Prazosin,Other|NIH,Interventional,2015-10-01,"Honor Health, Scottsdale, Arizona, United States|Cedars Sinai, Beverly Hills, California, United States|U.C. Davis, Sacramento, California, United States|Santa Clara Valley Medical Center, San Jose, California, United States|U.C.L.A. Harbor, Torrance, California, United States|Hartford Hospital, Hartford, Connecticut, United States|Georgia Regents, Augusta, Georgia, United States|Eskenazi Health, Indianapolis, Indiana, United States|University of Iowa, Iowa City, Iowa, United States|University of Kentucky, Lexington, Kentucky, United States|Louisiana State University, New Orleans, Louisiana, United States|Regions Hospital, St. Paul, Minnesota, United States|Jacobi Medical Center, Bronx, New York, United States|University of Rochester, Rochester, New York, United States|Wake Forest, Winston-Salem, North Carolina, United States|University of Cincinnati, Cincinnati, Ohio, United States|Ohio State University, Columbus, Ohio, United States|Baylor Health Care System, Dallas, Texas, United States|UT Southwestern Medical Center, Dallas, Texas, United States|University of Texas Medical Branch at Galveston, Galveston, Texas, United States|The University of Utah, Salt Lake City, Utah, United States|The University of Vermont, Burlington, Vermont, United States|Inova Trauma Center, Falls Church, Virginia, United States|The University of Wisconsin Madison, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT02655354
2156,PK Study of EXPAREL in Subjects Undergoing Open Spinal Fusion or Reconstructive Surgery,Completed,No Results Available,Spinal Fusion|Pain Management,"Muscle, Bone, and Cartilage Diseases",Drug: EXPAREL,Industry,Interventional,2016-12-01,"University of Miami, Miami, Florida, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02985762
3086,Post-Approval 'Real Conditions of Use' Study,Recruiting,No Results Available,Spinal Stenosis,"Muscle, Bone, and Cartilage Diseases",Device: coflex® Interlaminar Technology|Procedure: Decompression,Industry|Other,Interventional,2016-09-01,"Todd H. Lanman, M.D., Inc., Beverly Hills, California, United States|Beverly Hills Spine Surgery, Inc., Los Angeles, California, United States|Tallahassee Neurological Clinic, Tallahassee, Florida, United States|Northshore University Health System, Evanston, Illinois, United States|Spine Institute of Louisiana, Shreveport, Louisiana, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02555280
3562,A Study to Evaluate the Safety and Efficacy of Topically Applied TV-45070 (Ointment) in Participants With Primary Osteoarthritis (OA) Affecting a Single Knee,Completed,No Results Available,Osteoarthritis of the Knee,Skin and Connective Tissue Diseases,Drug: TV-45070|Drug: Placebo,Industry,Interventional,2014-02-28,"Teva Investigational Site 12217, Anaheim, California, United States|Teva Investigational Site 12244, Anaheim, California, United States|Teva Investigational Site 12252, Cerritos, California, United States|Teva Investigational Site 13009, Cerritos, California, United States|Teva Investigational Site 12233, El Cajon, California, United States|Teva Investigational Site 12240, Lomita, California, United States|Teva Investigational Site 12251, Sacramento, California, United States|Teva Investigational Site 12234, Spring Valley, California, United States|Teva Investigational Site 12256, Clearwater, Florida, United States|Teva Investigational Site 12241, DeLand, Florida, United States|Teva Investigational Site 12246, Eustis, Florida, United States|Teva Investigational Site 12231, Fort Myers, Florida, United States|Teva Investigational Site 12216, Hialeah, Florida, United States|Teva Investigational Site 12230, Jacksonville, Florida, United States|Teva Investigational Site 12220, Miami, Florida, United States|Teva Investigational Site 12221, Oldsmar, Florida, United States|Teva Investigational Site 12226, Orlando, Florida, United States|Teva Investigational Site 12237, Orlando, Florida, United States|Teva Investigational Site 12255, Ormond Beach, Florida, United States|Teva Investigational Site 12225, Plantation, Florida, United States|Teva Investigational Site 12229, Sanford, Florida, United States|Teva Investigational Site 12235, Tampa, Florida, United States|Teva Investigational Site 12253, Atlanta, Georgia, United States|Teva Investigational Site 12250, Marietta, Georgia, United States|Teva Investigational Site 12243, Evansville, Indiana, United States|Teva Investigational Site 12238, Overland Park, Kansas, United States|Teva Investigational Site 12218, New Orleans, Louisiana, United States|Teva Investigational Site 12245, Watertown, Massachusetts, United States|Teva Investigational Site 12228, Bingham Farms, Michigan, United States|Teva Investigational Site 12242, Hazelwood, Missouri, United States|Teva Investigational Site 12249, Saint Louis, Missouri, United States|Teva Investigational Site 12223, Omaha, Nebraska, United States|Teva Investigational Site 12219, New York, New York, United States|Teva Investigational Site 12239, Charlotte, North Carolina, United States|Teva Investigational Site 12248, Raleigh, North Carolina, United States|Teva Investigational Site 12247, Winston-Salem, North Carolina, United States|Teva Investigational Site 12254, Winston-Salem, North Carolina, United States|Teva Investigational Site 12224, Cincinnati, Ohio, United States|Teva Investigational Site 12236, Memphis, Tennessee, United States|Teva Investigational Site 12232, Dallas, Texas, United States|Teva Investigational Site 12227, Plano, Texas, United States|Teva Investigational Site 12222, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT02068599
3410,"16-week Efficacy and 2-year Safety, Tolerability and Efficacy of Secukinumab in Participants With Active Ankylosing Spondylitis",Completed,No Results Available,"Spondylitis, Ankylosing","Muscle, Bone, and Cartilage Diseases",Biological: Secukinumab|Biological: Placebo,Industry,Interventional,2015-05-18,"Novartis Investigative Site, Anniston, Alabama, United States|Novartis Investigative Site, Upland, California, United States|Novartis Investigative Site, Aventura, Florida, United States|Novartis Investigative Site, Peoria, Illinois, United States|Novartis Investigative Site, Shreveport, Louisiana, United States|Novartis Investigative Site, Lincoln, Nebraska, United States|Novartis Investigative Site, Voorhees, New Jersey, United States|Novartis Investigative Site, Oklahoma City, Oklahoma, United States|Novartis Investigative Site, Duncansville, Pennsylvania, United States|Novartis Investigative Site, Columbia, South Carolina, United States|Novartis Investigative Site, Mesquite, Texas, United States|Novartis Investigative Site, Seattle, Washington, United States|Novartis Investigative Site, Kogarah, New South Wales, Australia|Novartis Investigative Site, Maroochydore, Queensland, Australia|Novartis Investigative Site, Hobart, Tasmania, Australia|Novartis Investigative Site, Malvern East, Victoria, Australia|Novartis Investigative Site, Graz, Austria|Novartis Investigative Site, Vienna, Austria|Novartis Investigative Site, Vienna, Austria|Novartis Investigative Site, Pleven, Bulgaria|Novartis Investigative Site, Plovdiv, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Targovishte, Bulgaria|Novartis Investigative Site, Winnipeg, Manitoba, Canada|Novartis Investigative Site, Pointe-Claire, Quebec, Canada|Novartis Investigative Site, Trois Rivieres, Quebec, Canada|Novartis Investigative Site, Ostrava, Czech Republic, Czechia|Novartis Investigative Site, Praha 11, Czech Republic, Czechia|Novartis Investigative Site, Praha 2, Czech Republic, Czechia|Novartis Investigative Site, Uherske Hradiste, Czech Republic, Czechia|Novartis Investigative Site, Frederiksberg, Denmark|Novartis Investigative Site, Odense, Denmark|Novartis Investigative Site, Hyvinkaa, Finland|Novartis Investigative Site, Jyvaskyla, Finland|Novartis Investigative Site, Bad Doberan, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Chemnitz, Germany|Novartis Investigative Site, Erlangen, Germany|Novartis Investigative Site, Germering, Germany|Novartis Investigative Site, Goettingen, Germany|Novartis Investigative Site, Hamburg, Germany|Novartis Investigative Site, Herne, Germany|Novartis Investigative Site, Leipzig, Germany|Novartis Investigative Site, Magdeburg, Germany|Novartis Investigative Site, Muenchen, Germany|Novartis Investigative Site, Wurzburg, Germany|Novartis Investigative Site, Athens, Greece|Novartis Investigative Site, Athens, Greece|Novartis Investigative Site, Patras, Greece|Novartis Investigative Site, Genova, GE, Italy|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Torino, TO, Italy|Novartis Investigative Site, Verona, VR, Italy|Novartis Investigative Site, Amsterdam, Netherlands|Novartis Investigative Site, Heerlen, Netherlands|Novartis Investigative Site, Leiden, Netherlands|Novartis Investigative Site, Rotterdam, Netherlands|Novartis Investigative Site, Kongsvinger, Norway|Novartis Investigative Site, Bialystok, Poland|Novartis Investigative Site, Elblag, Poland|Novartis Investigative Site, Poznan, Poland|Novartis Investigative Site, Poznan, Poland|Novartis Investigative Site, Poznan, Poland|Novartis Investigative Site, Warszawa, Poland|Novartis Investigative Site, Barnaul, Russian Federation|Novartis Investigative Site, Barnaul, Russian Federation|Novartis Investigative Site, Kemerovo, Russian Federation|Novartis Investigative Site, S.-Petersburg, Russian Federation|Novartis Investigative Site, Saint Petersburg, Russian Federation|Novartis Investigative Site, St-Petersburg, Russian Federation|Novartis Investigative Site, Piestany, SVK, Slovakia|Novartis Investigative Site, Partizanske, Slovakia|Novartis Investigative Site, Sabinov, Slovakia|Novartis Investigative Site, Stara Lubovna, Slovakia|Novartis Investigative Site, Topolcany, Slovakia|Novartis Investigative Site, Cordoba, Andalucia, Spain|Novartis Investigative Site, Hospitalet de Llobregat, Barcelona, Spain|Novartis Investigative Site, Santander, Cantabria, Spain|Novartis Investigative Site, La Coruna, Galicia, Spain|Novartis Investigative Site, Santiago de Compostela, Galicia, Spain|Novartis Investigative Site, Baracaldo, Vizcaya, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Fribourg, Switzerland|Novartis Investigative Site, St Gallen, Switzerland|Novartis Investigative Site, Leytonstone, London, United Kingdom|Novartis Investigative Site, Doncaster, United Kingdom|Novartis Investigative Site, Wolverhampton, United Kingdom",https://ClinicalTrials.gov/show/NCT02159053
3411,"16-week Efficacy and 3-year Safety, Tolerability and Efficacy of Secukinumab in Active Ankylosing Spondylitis Patients",Completed,No Results Available,"Spondylitis, Ankylosing","Muscle, Bone, and Cartilage Diseases",Drug: Secukinumab|Drug: Placebo secukinumab,Industry,Interventional,2014-01-14,"Novartis Investigative Site, Mobile, Alabama, United States|Novartis Investigative Site, Mesa, Arizona, United States|Novartis Investigative Site, Peoria, Arizona, United States|Novartis Investigative Site, Upland, California, United States|Novartis Investigative Site, Palm Harbor, Florida, United States|Novartis Investigative Site, Pembroke Pines, Florida, United States|Novartis Investigative Site, Passaic, New Jersey, United States|Novartis Investigative Site, Albany, New York, United States|Novartis Investigative Site, Oklahoma City, Oklahoma, United States|Novartis Investigative Site, Duncansville, Pennsylvania, United States|Novartis Investigative Site, North Charleston, South Carolina, United States|Novartis Investigative Site, Jackson, Tennessee, United States|Novartis Investigative Site, Austin, Texas, United States|Novartis Investigative Site, Mesquite, Texas, United States|Novartis Investigative Site, Aalst, Belgium|Novartis Investigative Site, Bruxelles, Belgium|Novartis Investigative Site, Uherske Hradiste, Czech Republic, Czechia|Novartis Investigative Site, Praha 2, Czechia|Novartis Investigative Site, Bad Doberan, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Cottbus, Germany|Novartis Investigative Site, Erlangen, Germany|Novartis Investigative Site, Erlangen, Germany|Novartis Investigative Site, Gottingen, Germany|Novartis Investigative Site, Hamburg, Germany|Novartis Investigative Site, Hannover, Germany|Novartis Investigative Site, Herne, Germany|Novartis Investigative Site, Jena, Germany|Novartis Investigative Site, Magdeburg, Germany|Novartis Investigative Site, Muenchen, Germany|Novartis Investigative Site, Zerbst, Germany|Novartis Investigative Site, Athens, GR, Greece|Novartis Investigative Site, Thessaloniki, GR, Greece|Novartis Investigative Site, Athens, Greece|Novartis Investigative Site, Athens, Greece|Novartis Investigative Site, Heraklion, Greece|Novartis Investigative Site, Mexicali, Baja California, Mexico|Novartis Investigative Site, Torreon, Coahuila, Mexico|Novartis Investigative Site, Culiacan, MEX, Mexico|Novartis Investigative Site, Almada, Portugal|Novartis Investigative Site, Lisboa, Portugal|Novartis Investigative Site, Lisboa, Portugal|Novartis Investigative Site, Lisboa, Portugal|Novartis Investigative Site, Kazan, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, St Petersburg, Russian Federation|Novartis Investigative Site, St-Petersburg, Russian Federation|Novartis Investigative Site, Cordoba, Andalucia, Spain|Novartis Investigative Site, Sabadell, Barcelona, Spain|Novartis Investigative Site, Santander, Cantabria, Spain|Novartis Investigative Site, La Coruna, Galicia, Spain|Novartis Investigative Site, El Palmar, Murcia, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, London, England, United Kingdom|Novartis Investigative Site, Norwich, United Kingdom|Novartis Investigative Site, Torquay, United Kingdom",https://ClinicalTrials.gov/show/NCT02008916
3421,"Extension in AS: Sustainability of Benefits, Safety and Tolerability","Active, not recruiting",No Results Available,"Spondylitis, Ankylosing","Muscle, Bone, and Cartilage Diseases",Biological: Secukinumab,Industry,Interventional,2013-11-06,"Novartis Investigative Site, Portland, Oregon, United States|Novartis Investigative Site, Duncansville, Pennsylvania, United States|Novartis Investigative Site, Jackson, Tennessee, United States|Novartis Investigative Site, Kingsport, Tennessee, United States|Novartis Investigative Site, Spokane, Washington, United States|Novartis Investigative Site, Bruxelles, Belgium|Novartis Investigative Site, Genk, Belgium|Novartis Investigative Site, Gent, Belgium|Novartis Investigative Site, Leuven, Belgium|Novartis Investigative Site, Burgas, Bulgaria|Novartis Investigative Site, Plovdiv, Bulgaria|Novartis Investigative Site, Plovdiv, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Sofia, Bulgaria|Novartis Investigative Site, Winnipeg, Manitoba, Canada|Novartis Investigative Site, St. John's, Newfoundland and Labrador, Canada|Novartis Investigative Site, Limoges cedex, Haute Vienne, France|Novartis Investigative Site, Bordeaux Cedex, France|Novartis Investigative Site, Paris, France|Novartis Investigative Site, Berlin, Germany|Novartis Investigative Site, Erlangen, Germany|Novartis Investigative Site, Hamburg, Germany|Novartis Investigative Site, Herne, Germany|Novartis Investigative Site, Koeln, Germany|Novartis Investigative Site, Magdeburg, Germany|Novartis Investigative Site, Nürnberg, Germany|Novartis Investigative Site, Brescia, BS, Italy|Novartis Investigative Site, Catania, CT, Italy|Novartis Investigative Site, Palermo, PA, Italy|Novartis Investigative Site, Siena, SI, Italy|Novartis Investigative Site, Torino, TO, Italy|Novartis Investigative Site, Mexicali, Baja California, Mexico|Novartis Investigative Site, Guadalajara, Jalisco, Mexico|Novartis Investigative Site, Monterrey, Nuevo Leon, Mexico|Novartis Investigative Site, Culiacan, Sinaloa, Mexico|Novartis Investigative Site, Amsterdam, Netherlands|Novartis Investigative Site, Utrecht, Netherlands|Novartis Investigative Site, Jesus Maria, Lima, Peru|Novartis Investigative Site, La Victoria, Lima, Peru|Novartis Investigative Site, Pueblo Libre, Lima, Peru|Novartis Investigative Site, San Isidro, Lima, Peru|Novartis Investigative Site, Surquillo, Lima, Peru|Novartis Investigative Site, Ekaterinburg, Russian Federation|Novartis Investigative Site, Ekaterinburg, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Saint Petersburg, Russian Federation|Novartis Investigative Site, Tula, Russian Federation|Novartis Investigative Site, Yaroslavl, Russian Federation|Novartis Investigative Site, Taichung, Taiwan ROC, Taiwan|Novartis Investigative Site, Kaohsiung, Taiwan|Novartis Investigative Site, Gaziantep, Turkey|Novartis Investigative Site, Izmir, Turkey|Novartis Investigative Site, London, England, United Kingdom|Novartis Investigative Site, Cambridge, United Kingdom|Novartis Investigative Site, Newcastle Upon Tyne, United Kingdom|Novartis Investigative Site, Wolverhampton, United Kingdom",https://ClinicalTrials.gov/show/NCT01863732
1631,Efficacy and Safety of Ketoprofen Topical Patch 20% in the Treatment of Pain Associated With Ankle Sprain or Strain,Completed,No Results Available,Sprain|Strain,"Muscle, Bone, and Cartilage Diseases",Drug: Ketoprofen Topical Patch 20%,Industry,Interventional,2006-06-01,"PPD, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT00351104
3204,Efficacy and Safety of Coenzyme Q10 in the Treatment of Statin-Associated Myalgia,Terminated,No Results Available,Statin-associated Myalgia,"Muscle, Bone, and Cartilage Diseases",Dietary Supplement: coenzyme Q10|Dietary Supplement: matching placebo,Other,Interventional,2006-03-01,"The Cardiac Center of Creighton University Medical Center, Omaha, Nebraska, United States",https://ClinicalTrials.gov/show/NCT00590408
3570,Study of the Use of Laser Light to Treat Osteoarthritis of the Hand.,Unknown status,No Results Available,Osteoarthritis,Skin and Connective Tissue Diseases,Device: Ultra Probe Laser System,Industry,Interventional,2005-07-01,"Proctology Associates, Phoenix, Arizona, United States|Advanced Wellness Center, Long Beach, California, United States|Advanced Chiropractic, Bloomington, Minnesota, United States",https://ClinicalTrials.gov/show/NCT00254111
3571,The Effect of Ibuprofen on Post-partum Blood Pressure in Women With Hypertensive Disorders of Pregnancy,Completed,No Results Available,"Hypertension, Pregnancy-Induced|Pre-eclampsia","Muscle, Bone, and Cartilage Diseases",Drug: Ibuprofen|Drug: Acetaminophen,Other,Interventional,2016-12-01,"University of Michigan, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT02891174
3572,Effect of Chair Yoga on Elders With Osteoarthritis,Unknown status,No Results Available,Osteoarthritis (OA),Skin and Connective Tissue Diseases,Behavioral: Sit 'N' Fit Chair Yoga (SNFCY)|Behavioral: Health Education Program (HEP),Other|NIH,Interventional,2014-03-01,"North East Focal Point Senior Center, Deerfield Beach, Florida, United States|Douglas Gardens North (Public Housing Facility), Pembroke Pines, Florida, United States",https://ClinicalTrials.gov/show/NCT02113410
3574,Persona Total Knee Arthroplasty Outcomes Study,Recruiting,No Results Available,"Knee Pain Chronic|Osteoarthritis|Rheumatoid Arthritis|Traumatic Arthritis|Polyarthritis|Moderate Varus, Valgus or Flexion Deformities|Avascular Necrosis of the Femoral Condyle",Skin and Connective Tissue Diseases,Device: Zimmer Persona Total Knee System,Industry,Interventional,2014-07-01,"Colorado Joint Replacement, Denver, Colorado, United States|Orthopaedic & Spine Center of the Rockies, Fort Collins, Colorado, United States|Denver-Vail Orthopedics, Parker, Colorado, United States|Rockford Orthopedic Associates, Rockford, Illinois, United States|Henry County Orthopedics and Sports Medicine, New Castle, Indiana, United States|UNC Department of Orthopaedics, Chapel Hill, North Carolina, United States|OrthoCarolina, Charlotte, North Carolina, United States|Raleigh Orthopaedic Clinic, Raleigh, North Carolina, United States|Lindner Research Center, Cincinnati, Ohio, United States|SportsMedicine Grant & Orthopaedic Associates, Columbus, Ohio, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|Tennessee Orthopaedic Foundation for Education and Research, Knoxville, Tennessee, United States|Texas Tech University Health Sciences Center, Lubbock, Texas, United States",https://ClinicalTrials.gov/show/NCT02255383
3577,How Lidocaine Affects Outcomes In Orthopedic Surgery Patients,Withdrawn,No Results Available,General Anesthesia|Surgeries Requiring A Minimum One Day Hospitalization|Elderly,"Muscle, Bone, and Cartilage Diseases",Drug: Lidocaine,Other,Interventional,2011-06-01,"Cedars Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT01179100
3579,Microvascular Blood Flow in Sickle Cell Anemia,"Active, not recruiting",No Results Available,Sickle Cell Disease|Sickle Cell Anemia,"Muscle, Bone, and Cartilage Diseases",Drug: regadenoson infusion with contrast-enhanced ultrasound|Procedure: contrast-enhanced ultrasound,Other,Interventional,2012-07-01,"The University of Illinois, Chicago, Illinois, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT01566890
2320,Shoulder Eccentric External Rotator Training for Subacromial Pain Syndrome,Completed,Has Results,Subacromial Impingement Syndrome,"Muscle, Bone, and Cartilage Diseases",Other: Eccentric Shoulder External Rotator Training|Other: General Shoulder exercise,Other,Interventional,2014-03-01,"University of St. Augustine, St. Augustine, Florida, United States",https://ClinicalTrials.gov/show/NCT02153827
3581,Risk of Falling After CFNB Versus ACB,Completed,No Results Available,Falls|Total Knee Arthroplasty (TKA)|Osteoarthritis,Skin and Connective Tissue Diseases,Procedure: adductor canal block|Procedure: femoral nerve block,Other,Interventional,2014-09-01,"University of Pennsylvania, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02314832
1322,"Massage Technique for Pain, Anxiety and Delirium in SAH Patients",Completed,No Results Available,Subarachnoid Hemorrhage|Anxiety|Pain|Delirium|Sleep,"Muscle, Bone, and Cartilage Diseases",Other: Massage,Other,Interventional,2013-12-01,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT01982656
3585,Diagnostic Evaluation of Patients With Neuromuscular Disease,Completed,No Results Available,Neuromuscular Disease,"Muscle, Bone, and Cartilage Diseases",,NIH,Observational,2001-04-16,"National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT00015470
3587,Study Evaluating the Safety and Efficacy of Proellex® in the Treatment of Endometriosis-extension Study,Terminated,No Results Available,Endometriosis,"Muscle, Bone, and Cartilage Diseases",Drug: Proellex®,Industry,Interventional,2009-02-01,"Advanced Clinical Therapeutics, LLC, Tucson, Arizona, United States|Medical Center for Clinical Research, San Diego, California, United States|Compass Clinical Research, San Ramon, California, United States|Comprehensive Clinical Trials, West Palm Beach, Florida, United States|Physicians for Women, Cary, North Carolina, United States|HWC Women's Research Center, Miamisburg, Ohio, United States|Clinical Trials of Texas/Institute for Women's Health, San Antonio, Texas, United States|Clinical Trials of Texas/Seven Oaks Women's Center, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT00958412
