Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
34,NCT01967641,Prescription Opioid Abuse Among Pain Patients: Predictors of Relapse,PAIN,Completed,Has Results,Opioid Dependence,Drug: buprenorphine/naloxone combination,Number of Participants Retained in Study|Number of Participants Abstinent From Opioids|Pain Measurement,New York State Psychiatric Institute,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,51,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,#6269R|DA020448-05,2005-11-01,2011-06-01,2011-06-01,2013-10-23,2018-06-15,2018-06-15,"SURC, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT01967641
35,NCT00723177,"Phase IIa Study of AV411, a Glial Activation Inhibitor, for Opioid Withdrawal",AV411,Completed,Has Results,Opioid-Related Disorders,Drug: AV411|Drug: Placebo (PCB),Subjective Opioid Withdrawal Scale Score (SOWS)|The Effects of AV411 on the Analgesic Effects of Oxycodone.,New York State Psychiatric Institute|National Institute on Drug Abuse (NIDA),All,21 Years to 45 Years   (Adult),Phase 2,30,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Basic Science",#5725|P50DA009236,2008-10-01,2010-04-01,2012-06-01,2008-07-28,2016-12-05,2016-12-05,"New York State Psychiatric Institute/Columbia University, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00723177
36,NCT02299024,Prescribing Opioid Pain Relievers in the Emergency Department: Understanding and Optimizing the Encounter,,Completed,No Results Available,"Opioid Use, Unspecified",Behavioral: Additional Opioid Information,Knowledge of medication name|Knowledge and counseling recall outcomes|Actual Use outcomes|Response to the intervention,Northwestern University|Emergency Medicine Foundation,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,278,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,SP0017808,2012-10-01,2013-05-01,2013-05-01,2014-11-24,null,2014-11-24,"Northwestern University, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT02299024
37,NCT01536925,Studies of Opioid Seeking Behavior: Yohimbine and Hydrocortisone Effects,YHO,Completed,No Results Available,Heroin Dependence|Opioid-Related Disorders,,,Wayne State University|National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),,21,Other|NIH,Observational,Observational Model: Case-Only|Time Perspective: Prospective,YHO-1|R01DA015462-06A1,2011-12-01,2017-04-01,2017-04-01,2012-02-22,null,2018-04-05,"Wayne State University, Detroit, Michigan, United States",,https://ClinicalTrials.gov/show/NCT01536925
38,NCT03394261,Pilot Test of Patient Decision Aid for Opioid Use Disorder,PtDA-MAT,Not yet recruiting,No Results Available,Opioid Use Disorder,Behavioral: Patient Decision Aid,Treatment Retention|Drug screening results|Treatment Adherence,"University of California, Los Angeles",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,OPIOD1,2018-05-15,2018-08-31,2018-08-31,2018-01-09,null,2018-05-14,"Tarzana Treatment Centers, Inc., Tarzana, California, United States",,https://ClinicalTrials.gov/show/NCT03394261
39,NCT01517165,Pioglitazone to Treat Opioid Withdrawal Symptoms,,Terminated,No Results Available,Opioid-Related Disorders,Drug: Pioglitazone|Drug: Placebo,"Treatment response, defined as opioid abstinence without severe withdrawal symptoms during the last week of the taper (week 6) and duration in treatment (retention)|Overall proportions of opioid-negative urines, proportions of participants needing adjunct medications status at follow-up",National Institute on Drug Abuse (NIDA)|National Institutes of Health Clinical Center (CC),All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,24,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment,999912469|12-DA-N469,2012-01-04,2015-02-02,2015-02-02,2012-01-25,null,2018-07-04,"National Institute on Drug Abuse, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT01517165
40,NCT00134888,Blockade Efficacy of Buprenorphine/Naloxone For Opioid Dependence,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine/naloxone,Physiological effects|drug effects (measured at Week 11),National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Not Applicable,8,NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double|Primary Purpose: Treatment,NIDA-08045-2|R01-08045-2|DPMC,2000-12-01,null,2002-11-01,2005-08-25,null,2017-01-12,"Johns Hopkins University (BPRU) Bayview Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00134888
41,NCT02038790,Usability of Zubsolv Sublingual Tablets 5.7/1.4 to Suboxone Sublingual Film 8/2 In Buprenorphine/Naloxone Treated Opioid Dependent Population,,Completed,Has Results,Opioid Dependence,Drug: Suboxone Sublingual Film|Drug: Zubsolv sublingual tablets,"Overall Intervention Preference As Assessed by Participants|Participant Preference With Regard to Overall Taste of Interventions|Participant Assessments With Regard to Ease of Dissolution of Interventions|Percentage of Participant Favorable and Unfavorable Response to the Question: How Easy or Difficult Was it to Open the Package?|Percentage of Participant Favorable and Unfavorable Response to the Question: How Easy or Difficult Were the Package Instructions to Follow?|Percentage of Participant Favorable and Unfavorable Response to the Question: How Comfortable Did It Feel In Your Mouth?|Percentage of Participant Favorable and Unfavorable Response to the Question: How Easily Did the Medication Dissolve in Your Mouth?|Percentage of Participant Response to the Question: Did You Experience Any Uncomfortable Effects of Burning or Stinging?|Percentage of Participant Response to the Question: Did You Experience Any Uncomfortable Effects of Skin Irritation or Blisters?|Percentage of Participant Response to the Request: Please Rate the Medication You Received Today in Terms of the Drug's Ability to Product a 'High'|Percentage of Participant Response to the Request: When Thinking About the Medication You Used Today, Indicate on the Line Below Your Ability to Abuse This Medication|Percentage of Participant Response to the Question: If You Did Want to Abuse This Medication, Would You Prefer to......|Percentage of Participant Response to the Question: Compared to the Medication That You Are Currently Using for Treatment of Opioid Dependence, The Study Medication You Just Used Was.....|Dissolution Time of Intervention as Recorded by a Trained Observer|Change From Baseline in Subject Opiate Withdrawal Scale (SOWS)",Indivior Inc.,All,"18 Years and older   (Adult, Older Adult)",Phase 4,33,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RBP-OSZ1|13-131220-108,2013-11-01,2013-11-01,2013-11-01,2014-01-17,2017-03-21,2017-03-21,"Hill Top Research, St Petersburg, Florida, United States",,https://ClinicalTrials.gov/show/NCT02038790
42,NCT00727675,Chronic Pain and Opioid Dependence Assessment and Treatment,CPODAT,Completed,No Results Available,Chronic Pain|Opioid Dependency,Behavioral: Integrated Cognitive Behavioral Therapy,Reduced illicit opioid use and pain,Yale University|National Institute on Drug Abuse (NIDA),All,"18 Years to 65 Years   (Adult, Older Adult)",Not Applicable,15,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,1K23DA024050-01A1,2008-08-01,2014-07-01,2015-07-01,2008-08-04,null,2016-06-29,"Yale University School of Medicine, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT00727675
43,NCT01436474,Pilot Study of Varenicline to Treat Opioid Dependence,,Completed,No Results Available,Chronic Pain|Opioid Dependence,Drug: Varenicline|Drug: Placebo,assessment of opioid withdrawal symptoms|Assessment of cravings at one month following opioid tapering,Mayo Clinic,All,"21 Years and older   (Adult, Older Adult)",Phase 1,21,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment,11-002062,2011-06-01,2012-09-01,2012-12-01,2011-09-19,null,2013-01-23,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",,https://ClinicalTrials.gov/show/NCT01436474
44,NCT02559973,"Pharmacokinetics, Safety, and Tolerability of Depot Buprenorphine at Three Different Molecular Weights in Treatment-Seeking Subjects With Opioid Use Disorder",,Completed,No Results Available,Opioid Use Disorder,Drug: RBP-6000|Drug: SUBOXONE Sublingual Film,Area Under the Concentration-Time Curve from Study Day 1 to Day 29 (AUC0-28days) of Buprenorphine|Maximum Observed Plasma Concentration (Cmax) of Buprenorphine|Area Under the Concentration-Time Curve from Study Day 1 to Day 29 (AUC0-28days) of Norbuprenorphine|Maximum Observed Plasma Concentration (Cmax) of Norbuprenorphine|Participants with Treatment-Emergent Adverse Events,Indivior Inc.,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,47,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RB-US-13-0006,2015-09-01,2016-02-01,2016-03-01,2015-09-25,null,2017-01-31,"Vince & Associates Clinical Research, Overland Park, Kansas, United States",,https://ClinicalTrials.gov/show/NCT02559973
45,NCT03570320,Does Altering Narcotic Prescription Methods Affect Opioid Distribution Following Select Upper Extremity Surgeries?,,Not yet recruiting,No Results Available,Opioid Use,Other: Modification of opioid prescription method,Number of pills dispensed from a pharmacy to patients,John Yanik|University of Iowa,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,80,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other,201804820,2018-08-01,2019-12-31,2020-02-28,2018-06-26,null,2018-06-27,"University of Iowa, Iowa City, Iowa, United States",,https://ClinicalTrials.gov/show/NCT03570320
46,NCT01751789,Linking Opioid Dependent Patients From Inpatient Detoxification to Primary Care,,Recruiting,No Results Available,Illicit Opioid Drug Use,Behavioral: Linkage|Other: Treatment as Usual,Illicit opioid use|Health Service Utilization,Butler Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,370,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,DA034261,2012-10-01,2017-12-01,2018-08-01,2012-12-18,null,2018-01-19,"SSTAR, Fall River, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT01751789
47,NCT01082679,Treatment for Opioid Dependent Offenders,,Unknown status,No Results Available,Opioid Dependence,Drug: Methadone|Drug: buprenorphine (Suboxone),Effectiveness,"University of Wisconsin, Madison|University of Wisconsin, Milwaukee",All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,16,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RTB-20080242,2009-06-01,2011-02-01,2011-02-01,2010-03-08,null,2010-03-08,"University of Wisconsin - Madison, Madison, Wisconsin, United States",,https://ClinicalTrials.gov/show/NCT01082679
48,NCT03287180,Adolescent Community Reinforcement Approach in Combination With Buprenorphine/Naloxone for Severe Opioid Use,A-CRA/MAT,Not yet recruiting,No Results Available,"Opioid-Related Disorders|Behavior, Addictive",Behavioral: Adolescent Community Reinforcement Approach (A-CRA)|Other: Combination of Buprenorphine/naloxone 4/1,Proportion of opiates-negative urine drug screens over the total number of urine drug screens at each stage|Percent of days of opioid use within the past 90 days as indicated by self-report on the GAIN-Q3-Standard|Completion of the final phase of treatment defined as final study session (yes/no)|Number of clinic visits by patient and any expected joint family member sessions,Emory University,All,18 Years to 25 Years   (Adult),Not Applicable,20,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB00093907,2018-09-07,2019-04-01,2019-04-01,2017-09-19,null,2017-09-19,"Executive Park, Atlanta, Georgia, United States",,https://ClinicalTrials.gov/show/NCT03287180
49,NCT03396276,Houston Emergency Opioid Engagement System,HEROES,Recruiting,No Results Available,Opioid Dependence,Drug: Suboxone|Behavioral: Brief counseling in the ED|Behavioral: Referral to outpatient treatment|Behavioral: Follow-up coaching,Patient enrollment in outpatient treatment|Patient retention in outpatient treatment,"The University of Texas Health Science Center, Houston",All,"18 Years and older   (Adult, Older Adult)",Phase 4,50,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HSC-SBMI-17-1021,2018-04-01,2019-03-31,2019-03-31,2018-01-10,null,2018-05-08,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT03396276
50,NCT00608504,Effects of Environmental Factors on Opiate Drug Choice in Opioid Dependent Individuals.,DSC,Completed,No Results Available,Heroin Dependence|Opioid-Related Disorders,,,Wayne State University|National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),,16,Other|NIH,Observational,Observational Model: Case-Only|Time Perspective: Prospective,NIDA-15462-3|R01DA015462-03|DPMCDA,2007-07-01,2009-04-01,2009-04-01,2008-02-06,null,2012-06-05,"Wayne State University, Detroit, Michigan, United States",,https://ClinicalTrials.gov/show/NCT00608504
51,NCT03190954,Brain Dopaminergic Signaling in Opioid Use Disorders,,Recruiting,No Results Available,Normal Physiology|Opioid-Related Disorders,Other: Placebo|Drug: Methylphenidate,To assess whether the balance between D1R and D2R in striatum is disrupted in participants with an opioid use disorder (OUD) who are being treated with an opioid medication (MAT+) and does who are not (MAT-).|To assess the impact of disruptions on striatal D1R to D2R availability on: DA release; Function of brain reward and control networks; Behavior.|To assess if DA increases as achieved with oral MP influence the brain functional measures.,National Institute on Alcohol Abuse and Alcoholism (NIAAA)|National Institutes of Health Clinical Center (CC),All,"18 Years to 65 Years   (Adult, Older Adult)",Early Phase 1,240,NIH,Interventional,Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,170114|17-AA-0114,2017-08-17,2024-12-31,2024-12-31,2017-06-19,null,2018-08-08,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03190954
52,NCT03183882,Peer Comparison Feedback on Opioid Prescribing,,Completed,No Results Available,Opioid Use,Behavioral: Personal Feedback|Behavioral: Peer Normative Comparison Feedback,Normative beliefs|Number of opioid prescriptions per month,University of Pittsburgh,All,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,49,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Health Services Research",PRO17040547,2017-08-07,2017-09-28,2017-09-28,2017-06-12,null,2017-12-02,"University of Pittsburgh Medical Center Emergency Department, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03183882
