Conditions,start_year,Conditions_total,start_year_total
Pain|Spinal Cord Injuries|Multiple Sclerosis,2008,1,226
Pain|Stiffness|Abnormal Gait|Balance,2011,1,283
Pain|Stress,2015,1,318
Pain|Surgery,2010,1,234
Pain|Surgery|Post Operative Pain,2016,1,316
Pain|Surgical Abortion,2008,1,226
Pain|Thermal Injury|Burns|Hyperalgesia,2018,1,279
Pain|Thirst|Anxiety|Satisfaction,2009,1,251
Pain|Total Knee Arthroplasty,2012,1,300
Pain|Total Knee Replacement,2016,1,316
Pain|Traumatic Limb Injury,2016,1,316
Pain|Trigeminal Neuralgia|Neuropathic Pain,2006,1,194
Pain|Urinary Tract Infections,2009,1,251
"Pain|Venipuncture|Anesthetics, Local",2010,1,234
Pain|Ventilatory Depression,2015,1,318
Pain|Visceral Pain|Pancreatic Cancer,2006,1,194
Pain|Vision Nearsighted,2012,1,300
Pain|Weakness|Cramps|Myalgia or Myositis Nos|HMG COA Reductase Inhibitor Adverse Reaction,2009,1,251
Painful Bladder Syndrome,2008,1,226
Painful Bladder Syndrome|Interstitial Cystitis,2007,1,200
Painful Bladder Syndrome|Interstitial Cystitis,2014,1,328
Painful Bladder Syndrome|Interstitial Cystitis|Pelvic Floor; Insufficiency|Bowel Dysfunction|Sexual Dysfunction|Pelvic Floor; Incompetency,2011,1,283
Painful Diabetic Neuropathies,2012,1,300
Painful Diabetic Neuropathy,2008,3,226
Painful Diabetic Neuropathy,2009,1,251
Painful Diabetic Neuropathy,2010,1,234
Painful Diabetic Neuropathy,2012,1,300
Painful Diabetic Neuropathy,2017,2,332
Painful Diabetic Neuropathy (PDN),2013,1,284
Painful Diabetic Neuropathy|Diabetes,2014,1,328
"Painful Diabetic Neuropathy|Diabetic Neuropathy, Painful",2016,1,316
Painful Diabetic Neuropathy|Diabetic Neuropathy|Neuropathy,2014,1,328
Painful Diabetic Neuropathy|Diabetic Neuropathy|Neuropathy,2015,1,318
Painful Diabetic Peripheral Neuropathy,2011,1,283
Painful Diabetic Peripheral Neuropathy (PDPN),2015,1,318
Painful Intermetatarsal Neuroma (Morton's Neuroma),2014,1,328
Painful Lumbar Radiculopathy|Sciatica|Radiculopathy,2013,1,284
Painful Myelopathy|Painful Neuropathy,2014,1,328
Painful Neuropathy,2013,1,284
Painful Osteoporotic Vertebral Compression Fractures (VCF),2011,1,283
Painful Peripheral Diabetic Neuropathy,2015,1,318
Painful Peripheral Diabetic Neuropathy,2016,1,316
Palliative Care|Critical Illness,2016,1,316
Palliative Care|Pain|Cancer,2007,1,200
Pancreas Cancer|Biliary Tract Cancer,2012,1,300
Pancreatic Cancer,2014,1,328
Pancreatic Cancer Pain,2009,1,251
Pancreatic Cancer|Pain,2013,1,284
"Pancreatic Carcinoma Metastatic|Pancreatic Adenocarcinoma|Pancreatic Neoplasms|Pancreatic Cancer|Pancreatic Cancer, Adult",2017,1,332
Pancreatitis,2005,1,136
Pancreatitis,2016,1,316
"Pancreatitis, Chronic|Abdominal Pain",2017,1,332
"Pancreatitis, Chronic|Pancreatitis, Acute Recurrent",2018,1,279
Papillomavirus Vaccines,2018,1,279
Paracervical Block,2007,1,200
Paraplegia|Spinal Cord Injuries|Shoulder Pain|Tendinopathy,2015,1,318
Paraplegia|Upper Limb Pain,2008,1,226
Paravertebral Catheter Insertion|Mastectomy|Breast Cancer,2010,1,234
Paravertebral Peripheral Nerve Block|Acute Pain Management,2010,1,234
Parents|Chronic Pain|Pediatric Disorder,2017,1,332
Paresis,2012,1,300
Parkinson Disease|Dystonia|Autonomic Dysreflexia,2016,1,316
Parturients,2010,1,234
Patellofemoral Osteoarthritis,2012,1,300
Patellofemoral Pain Syndrome,2005,1,136
Patellofemoral Pain Syndrome,2006,1,194
Patellofemoral Pain Syndrome,2008,1,226
Patellofemoral Pain Syndrome,2012,3,300
Patellofemoral Pain Syndrome,2013,2,284
Patellofemoral Pain Syndrome,2014,2,328
Patellofemoral Pain Syndrome,2015,3,318
Patellofemoral Pain Syndrome,2017,3,332
Patellofemoral Pain Syndrome|Anterior Knee Pain Syndrome,2014,1,328
Patellofemoral Pain Syndrome|Anterior Knee Pain Syndrome,2016,1,316
Patellofemoral Pain Syndrome|Anterior Knee Pain Syndrome,2017,1,332
Patellofemoral Pain Syndrome|Chondromalacia Patellae|Anterior Knee Pain Syndrome,2011,1,283
Patellofemoral Syndrome,2013,1,284
Patellofemoral Syndrome,2015,1,318
Patent Ductus Arteriosus|Prematurity,2009,1,251
Patient Compliance,2014,1,328
Patient Compliance|Medication Adherence|Medication Non-Adherence,2010,1,234
Patients With Severe Chronic Pain,2013,1,284
PCST-Full (Pain Coping Skills Training)|PCST-Brief,2016,1,316
Pectus Excavatum,2013,3,284
Pectus Excavatum,2015,1,318
Pectus Excavatum|Funnel Chest,2016,1,316
"Pectus Excavatum|Pain, Postoperative",2011,1,283
Pediatric Abdominal Pain,2011,1,283
Pediatric Chronic Neuropathic Pain,2014,1,328
Pediatric Chronic Pain,2007,1,200
Pediatric Chronic Pain,2011,1,283
Pediatric Emergence Agitation and Pain,2005,1,136
Pediatric Pain,2009,1,251
Pediatric Post-tonsillectomy Pain,2016,1,316
Pediatric Postoperative Pain,2009,1,251
Pediatric|Headache|Anxiety,2010,1,234
Pegfilgrastim-induced Back and Leg Pain,2011,1,283
Pelvic Floor Disorders,2011,1,283
Pelvic Floor Disorders|Pelvic Pain,2013,1,284
Pelvic Floor Muscle Spasm,2009,1,251
Pelvic Girdle Pain,2013,1,284
Pelvic Girdle Pain,2017,1,332
Pelvic Organ Prolapse,2014,2,328
Pelvic Organ Prolapse,2015,2,318
Pelvic Organ Prolapse,2016,1,316
Pelvic Organ Prolapse,2017,1,332
Pelvic Organ Prolapse|Gynecologic Cancers|Uterine Leiomyomata|Adenomyosis|Endometrial Hyperplasia|Other Abnormal Uterine and Vaginal Bleeding|Pelvic Mass|Pelvic Pain,2011,1,283
Pelvic Organ Prolapse|Surgery|Postoperative Pain,2017,1,332
Pelvic Pain,2008,1,226
Pelvic Pain,2011,1,283
Pelvic Pain,2014,1,328
Pelvic Pain,2015,3,318
Pelvic Pain,2016,1,316
Pelvic Pain Associated With Refractory Endometriosis,2010,1,234
Pelvic Pain|Depression,2007,1,200
Pelvic Pain|Dyspareunia|Pelvic Floor Dysfunction,2017,1,332
Pelvic Pain|Endometriosis|Dysmenorrhea|Infertility,2012,1,300
Pelvic Pain|Headaches|Emotional,2007,1,200
Pelvic Pain|Healthy,2010,1,234
Pelvic Pain|Interstitial Cystitis|Bladder Diseases,2006,1,194
"Pelvic Pain|Stress Disorders, Traumatic",2015,1,318
Pelvis Pain Chronic,2011,1,283
Perforated Appendicitis,2014,1,328
Perioperative Chest Pain,2009,1,251
Perioperative Pain,2005,1,136
Peripheral Arterial Disease,2009,1,251
Peripheral Arterial Disease,2010,1,234
Peripheral Arterial Disease,2012,1,300
Peripheral Arterial Disease,2017,1,332
Peripheral Arterial Disease,2018,1,279
Peripheral Arterial Disease|Angina,2008,1,226
Peripheral Arterial Disease|Claudication,2011,1,283
Peripheral Arterial Disease|Claudication (Finding),2015,1,318
Peripheral Arterial Occlusive Disease,2010,1,234
Peripheral Artery Disease (PAD); Intermittent Claudication,2017,1,332
Peripheral Artery Disease|Severe Intermittent Claudication,2006,1,194
Peripheral Nervous System Diseases|Pain Management|Self Management,2016,1,316
Peripheral Neuropathic Pain|Neurotoxicity|Cancer,2010,1,234
Peripheral Neuropathy,2005,1,136
Peripheral Neuropathy|Antineoplastic Combined Chemotherapy Protocols,2006,1,194
Peripheral Neuropathy|Diabetes Mellitus|Diabetes Complications,2006,1,194
Peripheral Neuropathy|HIV Infections,2006,1,194
Peripheral Neuropathy|Low Back Pain,2013,1,284
Peripheral Neuropathy|Neuropathic Pain,2007,1,200
Peripheral Neuropathy|Type 1 Diabetes,2011,1,283
Peripheral Vascular Disease,2007,1,200
Peripheral Vascular Disease,2013,1,284
Peripheral Vascular Diseases,2006,1,194
Peripheral Vascular Diseases,2007,1,200
Persian Gulf Syndrome,2010,1,234
Persian Gulf Syndrome|Chronic Fatigue Syndrome,2012,1,300
Persistent Pain After Delivery,2013,1,284
Persistent Pain After Injury|Functional Decline After Injury,2012,1,300
Persistent Post-surgical Pain|Acceptance and Commitment Therapy|Substance Use Disorder,2015,1,318
Persistent Post-surgical Pain|Veterans,2017,1,332
Persistent Postsurgical Pain,2011,1,283
Persistent Postsurgical Pain|Breast Cancer Female|Ductal Carcinoma in Situ,2015,1,318
Persistent/Chronic Low Back Pain,2014,1,328
Phantom Limb,2008,1,226
Phantom Limb,2011,1,283
Phantom Limb,2012,1,300
Phantom Limb,2015,1,318
Phantom Limb Pain,2007,1,200
Phantom Limb Pain,2008,2,226
Phantom Limb Pain,2009,1,251
Phantom Limb Pain,2013,1,284
Phantom Limb Pain,2015,2,318
Phantom Limb Pain,2017,2,332
"Phantom Limb Pain|Amputation, Traumatic",2015,1,318
Phantom Limb Pain|Chronic Pain|Prevention,2013,1,284
Phantom Limb Pain|Phantom Pain|Phantom Sensation|Pseudomelia,2010,1,234
Phantom Limb Pain|Postoperative Pain|Neuroma|Acute Pain|Chronic Pain|Residual Limbs|Amputation,2017,1,332
Phantom Limb Syndrome,2015,1,318
Phantom Limb|Brachial Plexus Block,2016,1,316
Phantom Limb|Residual Limb Pain|Traumatic Amputation|Amputation,2006,1,194
Phantom Pain,2015,1,318
Pharyngitis,2006,1,194
Pharyngitis,2009,2,251
Pharyngitis,2011,1,283
Pharyngitis,2013,1,284
Photorefractive Keratectomy,2006,1,194
Pilon Fracture,2013,1,284
Pituitary Tumor|Pain,2015,1,318
Placebo Analgesia,2011,1,283
Plantar Fasciitis,2005,2,136
Plantar Fasciitis,2006,1,194
Plantar Fasciitis,2008,1,226
Plantar Fasciitis,2012,1,300
Plantar Fasciitis,2017,1,332
Plantar Fasciitis|Achilles Tendinitis|Patellofemoral Pain Syndrome,2017,1,332
"Plantar Fasciosis, Achilles Tendinosis",2007,1,200
Plasma Cell Myeloma,2017,1,332
"Polycystic Kidney, Autosomal Dominant|Polycystic Liver Disease|Hepatomegaly|Liver Diseases|Kidney, Polycystic|Abdominal Pain",2007,1,200
Polymorphism-Genetic|Pain|Allelic Frequencies of Genetic Markers,2013,1,284
Polymyalgia Rheumatica|Rheumatoid Arthritis|Rheumatic Disease,2009,1,251
Popliteal Nerve Block|Foot Surgery|Ankle Surgery|Popliteal Bifurcation,2010,1,234
Post Abdominal Surgery Pain,2015,1,318
Post Concussive Headache,2016,1,316
Post Craniotomy Surgery|Cancer|Epilepsy|Vascular Malformations|Craniofacial Reconstructive Surgery,2011,1,283
Post Dural Puncture Headache,2007,1,200
Post Herpetic Neuralgia,2011,2,283
Post Herpetic Neuralgia,2013,1,284
Post Laser Vision Correction Pain and Discomfort,2012,1,300
Post Minimally Invasive Thorascopic Surgical Pain,2013,1,284
Post Ocular Surgical Inflammation and Pain,2014,2,328
Post op Pain,2018,1,279
Post Operative Analgesia|Non-inferiority Trial,2015,1,318
Post Operative Dental Pain,2015,1,318
Post Operative Dental Pain,2016,1,316
Post Operative Pain,2005,1,136
Post Operative Pain,2008,2,226
Post Operative Pain,2009,1,251
Post Operative Pain,2010,3,234
Post Operative Pain,2011,2,283
Post Operative Pain,2012,2,300
Post Operative Pain,2014,3,328
Post Operative Pain,2015,1,318
Post Operative Pain,2016,1,316
Post Operative Pain,2017,2,332
Post Operative Pain (Post Laparoscopic Hernia Repair),2013,1,284
Post Operative Pain Control,2017,1,332
Post Operative Pain Management in Children With Tonsillectomy/Adenoidectomy,2012,1,300
Post Operative Pain|Appendicitis,2015,1,318
Post Operative Pain|Nausea,2009,1,251
Post Operative Pain|Post Operative Nausea and Vomiting,2013,1,284
Post Operative Trauma|Acute Pain,2010,1,234
Post Partum Pain,2017,1,332
Post Surgical Ocular Inflammation and Pain,2016,1,316
Post Surgical Pain,2012,1,300
Post Surgical Pain,2016,2,316
Post Tonsillectomy Pain,2007,1,200
Post Traumatic Headache,2006,1,194
Post Traumatic Headache,2013,1,284
Post Traumatic Headache|Chronic Daily Headache,2013,1,284
Post Traumatic Stress Disorders|Burns,2007,1,200
Post Treatment Lyme Syndrome (PTLS)|Chronic Pain,2016,1,316
Post-Amputation Pain|Phantom Limb Pain|Residual Limb Pain,2013,1,284
Post-Amputation Pain|Phantom Limb Pain|Residual Limb Pain|Stump Pain,2014,1,328
Post-Amputation Phantom Limb Pain,2018,1,279
Post-Dural Puncture Headache,2018,1,279
Post-Dural Puncture Headache|Sphenopalatine Ganglion Block,2018,1,279
Post-exercise Muscle Soreness,2018,1,279
Post-Herpetic Neuralgia (PHN),2011,1,283
Post-laminectomy Pain Syndrome,2012,1,300
Post-laminectomy Syndrome|Axial Back Pain,2015,1,318
Post-Lumbar Puncture Headache,2006,1,194
Post-Mastectomy Chronic Pain Syndrome (Disorder),2018,1,279
Post-op Pain,2013,1,284
Post-op Pain,2014,1,328
Post-op Pain,2015,1,318
Post-operation Pain,2016,1,316
Post-operative Dental Pain,2017,1,332
Post-operative Dental Pain,2018,1,279
Post-operative Dyspareunia,2010,1,234
Post-operative Pain,2006,1,194
Post-operative Pain,2007,1,200
Post-operative Pain,2008,1,226
Post-operative Pain,2009,2,251
Post-operative Pain,2010,1,234
Post-operative Pain,2011,1,283
Post-operative Pain,2012,1,300
Post-operative Pain,2013,2,284
Post-operative Pain,2014,4,328
Post-operative Pain,2015,1,318
Post-operative Pain,2016,2,316
Post-operative Pain,2017,1,332
Post-Operative Pain,2008,1,226
Post-Operative Pain,2012,2,300
Post-Operative Pain,2014,2,328
Post-Operative Pain,2015,2,318
Post-Operative Pain,2016,3,316
Post-operative Pain Control,2017,1,332
Post-Operative Pain Following Total Knee Arthroplasty,2014,1,328
Post-operative Pain Management,2017,1,332
Post-Operative Pain|Acute Pain,2016,1,316
Post-operative Pain|Anesthesia,2014,1,328
Post-operative Pain|Colon Cancer|Diverticulitis,2013,1,284
Post-operative Pain|Gynecological Surgery|Acupuncture,2016,1,316
Post-Operative Pain|Pelvic Organ Prolapse,2007,1,200
Post-operative Pain|Quadriceps Muscle Strength,2016,1,316
Post-operative Pain|Respiratory Depression,2008,1,226
Post-operative Tooth Pain|Root Canal Therapy,2010,1,234
Post-polio Syndrome|Physical Activity|Depression|Pain|Sleep Disorders,2011,1,283
Post-stroke Shoulder Pain|Hemiplegic Shoulder Pain,2013,1,284
Post-surgical Dental Pain,2009,2,251
Post-surgical Dental Pain,2011,1,283
Post-surgical Pain,2009,1,251
Post-surgical Pain,2017,1,332
Post-surgical Pain,2018,1,279
Post-surgical Pain Following Extraction of Molar Teeth,2015,1,318
Post-surgical Pain|Total Knee Arthroplasty|Foot/Ankle Surgery|Catheterization for Postop Analgesia,2015,1,318
Post-tonsillectomy Pain|Post-tonsillectomy Activity|Post-tonsillectomy Hydration,2008,1,226
Post-traumatic Carpal Tunnel Syndrome|Complex Regional Pain Syndrome|Edema,2010,1,234
Post-traumatic Headache,2013,1,284
Post-Traumatic Headache,2010,1,234
Post-Traumatic Headache,2016,1,316
Post-Traumatic Headache,2017,3,332
Post-Traumatic Headache Chronic Without Intractable Headache,2017,1,332
"Post-Traumatic Headache|Head Trauma,Closed|Retention Disorders,Cognitive",2005,1,136
Post-traumatic Headache|PTSD,2015,1,318
Post-Traumatic Headaches,2018,1,279
Post-traumatic Osteoarthritis of the Knee,2015,1,318
Post-traumatic Stress Disorder|Persian Gulf Syndrome,2011,1,283
Postdural Puncture Headache,2015,2,318
Postdural Puncture Headache,2016,1,316
Postdural Puncture Headache,2018,1,279
"Postdural Puncture Headache|Cerebrospinal Fluid Leak|Spinal; Puncture, Complications, Headache",2018,1,279
Postdural Puncture Headache|Post-Lumbar Puncture Headache|Cerebrospinal Fluid Leaks,2011,1,283
Postdural Puncture Headache|Sphenopalatine Ganglion Block,2014,1,328
Posterior Cervical Surgery|Posterior Cervical Fusion|Posterior Cervical Laminectomy|Posterior Cervical Laminoplasty,2013,1,284
Posterior Fossa Hemorrhage|Lung Cancer|Flank Pain|Urolithiasis|Focal Hepatic Necrosis,2011,1,283
Posterior Knee Infiltration,2012,1,300
Posterolateral Thoracotomy|Postoperative Pain,2012,1,300
Postherpetic Neuralgia,2006,1,194
Postherpetic Neuralgia,2007,1,200
Postherpetic Neuralgia,2008,3,226
Postherpetic Neuralgia,2009,3,251
Postherpetic Neuralgia,2010,2,234
Postherpetic Neuralgia,2011,1,283
Postherpetic Neuralgia,2012,2,300
Postherpetic Neuralgia,2014,1,328
Postherpetic Neuralgia,2015,1,318
Postherpetic Neuralgia|Healthy Age/Gender Matched Volunteers,2011,1,283
Postherpetic Neuralgia|Pain,2006,1,194
Postherpetic Neuralgia|Pain,2010,1,234
Postherpetic Neuralgia|Pain,2012,1,300
Postherpetic Neuralgia|Shingles|Herpes Zoster|Neuropathic Pain,2007,1,200
Postmastectomy Lymphedema Syndrome|Pain|Shoulder Mobility Impairment|Breast Surgery,2014,1,328
Postop Adult ICU Patients,2011,1,283
Postoperative Dental Pain,2011,1,283
Postoperative Edema and Pain,2014,1,328
"Postoperative Ileus|Colon Cancer|Pain, Postoperative|Postoperative Nausea and Vomiting",2006,1,194
Postoperative Nausea and Vomiting,2008,1,226
Postoperative Nausea and Vomiting|Abdominal Pain,2009,1,251
"Postoperative Nausea and Vomiting|Pain, Postoperative",2016,1,316
Postoperative Ocular Pain After PRK Surgery,2016,1,316
Postoperative Pain,2005,1,136
Postoperative Pain,2006,3,194
Postoperative Pain,2007,14,200
Postoperative Pain,2008,12,226
Postoperative Pain,2009,4,251
Postoperative Pain,2010,11,234
Postoperative Pain,2011,8,283
Postoperative Pain,2012,8,300
Postoperative Pain,2013,8,284
Postoperative Pain,2014,6,328
Postoperative Pain,2015,7,318
Postoperative Pain,2016,6,316
Postoperative Pain,2017,4,332
Postoperative Pain,2018,2,279
POSTOPERATIVE PAIN,2014,1,328
Postoperative Pain Control in Surgical Neonates,2012,1,300
Postoperative Pain Following Knee Arthroplasty,2012,1,300
Postoperative Pain Management,2008,1,226
Postoperative Pain Management,2010,1,234
Postoperative Pain Management,2016,1,316
Postoperative Pain Management,2018,2,279
Postoperative Pain Management|Urolithiasis,2012,1,300
Postoperative Pain|Abdominal Surgery,2009,1,251
Postoperative Pain|Acute Pain,2012,1,300
Postoperative Pain|Adverse Effects,2011,1,283
Postoperative Pain|Anxiety,2015,1,318
Postoperative Pain|Breast Cancer,2014,1,328
Postoperative Pain|Carpal Tunnel Release|Distal Radius Fracture,2015,1,318
Postoperative Pain|Delirium|Confusion|Sleep,2012,1,300
Postoperative Pain|Foot Numbness,2008,1,226
Postoperative Pain|Hysterectomy,2006,1,194
Postoperative Pain|Inflammation,2009,1,251
Postoperative Pain|Inflammation|Osteoarthritis,2014,1,328
Postoperative Pain|Inguinal Hernia,2008,1,226
Postoperative Pain|Knee Replacement Arthroplasty,2010,1,234
Postoperative Pain|Medication Side Effects|Narcotic Requirement,2013,1,284
Postoperative Pain|Nausea|Vomiting|Anxiety|Depression,2013,1,284
Postoperative Pain|Objective Assessment of Sedation,2012,1,300
Postoperative Pain|Opioid Use,2017,1,332
Postoperative Pain|Paracervical Block|Laparoscopic Gynecologic Surgery,2011,1,283
Postoperative Pain|Postoperative Nausea and Vomiting,2015,1,318
Postoperative Pain|Postoperative Nausea and Vomiting|Quality of Life,2014,1,328
Postoperative Pain|Postoperative Nausea and Vomiting|Quality of Life|Breast Cancer|Breast Prosthesis; Pain,2017,1,332
Postoperative Pain|Postoperative Nausea|Postoperative Vomiting,2013,1,284
Postoperative Pain|Pregnancy|Obesity,2010,1,234
Postoperative Pain|Shoulder Arthritis,2014,1,328
Postoperative Pain|Shoulder Pain,2008,1,226
Postoperative Pain|Total Knee Arthroplasty|Nerve Block,2017,1,332
Postpartum Hemorrhage|Pain,2013,1,284
"Postpartum Period|Depression|Stress Disorders, Post-Traumatic",2016,1,316
Postsurgical Pain,2013,1,284
Postsurgical Pain,2014,1,328
Postsurgical Pain Due to Third Molar Extraction,2013,1,284
Postsurgical Pain|Analgesia|Prostatectomy,2012,1,300
Posttraumatic Headache|Combat Disorders|Post Concussion Syndrome|Headache|Mild Traumatic Brain Injury|Posttraumatic Migraine,2016,1,316
Posttraumatic Stress Disorder,2017,1,332
PostTraumatic Stress Disorder,2016,1,316
Posttraumatic Stress Disorder|Depression|Alcohol-Related Disorders|Suicidal Ideation|Substance-Related Disorders|Mild Cognitive Impairment|Quality of Life|Pain|Wounds and Injury|Brain Injuries|Chronic Disease,2015,1,318
Posttraumatic Stress Disorder|Traumatic Brain Injury|Suicide Attempt,2008,1,226
Pregnancy,2007,1,200
Pregnancy,2009,1,251
Pregnancy,2012,1,300
Pregnancy,2015,1,318
Pregnancy Related Low Back Pain,2005,1,136
Pregnancy Termination in First Trimester,2017,1,332
Pregnancy Termination in Second Trimester,2016,1,316
Pregnancy Termination|Pain Management,2015,1,318
Pregnancy-related Low Back Pain,2015,1,318
"Pregnancy, Unwanted",2015,1,318
Pregnancy|Labor Pain,2007,1,200
Pregnancy|Labor Pain,2010,1,234
Pregnancy|Labor Pain,2014,1,328
Pregnancy|Pain,2011,1,283
Pregnancy|Progesterone Levels|Pregnancy Associated Analgesia,2008,1,226
Pregnancy|Surgery|Pain,2015,1,318
Pregnant|Labor,2011,1,283
Premature Neonates,2005,1,136
Prescription Drug Abuse,2016,1,316
Pressure Ulcer|Wounds,2013,1,284
Preterm Labor|Preterm Contractions|Abdominal Cramping|Back Pain|Vaginal Pressure|Vaginal Bleeding,2013,1,284
Prevention of Procedural Pain|Reduction of Procedural Pain|Biochemical Effects of Oral Sucrose,2014,1,328
Primary Dysmenorrhea,2007,1,200
Primary Dysmenorrhea,2009,2,251
Primary Dysmenorrhea,2012,1,300
Primary Fibromyalgia,2011,1,283
Primary Fibromyalgia,2013,2,284
Primary Fibromyalgia,2015,1,318
Primary Fibromyalgia Syndrome,2011,1,283
Primary Headache,2012,1,300
Primary Headache Disorders,2015,1,318
"Primary Headaches (Includes Migraines, Tension, Cluster Headaches)",2011,1,283
Primary Insomnia,2006,2,194
Primary Mitochondrial Disease,2017,1,332
"Primary Osteoarthritis, Unspecified Shoulder",2014,1,328
Primary Total Knee Arthroplasty,2011,1,283
Pro-inflammatory Activity|Immunologic Activity Alteration,2010,1,234
Procedural Pain,2005,1,136
Procedural Pain,2007,1,200
Prostate Cancer,2005,2,136
Prostate Cancer,2006,1,194
Prostate Cancer,2007,1,200
Prostate Cancer,2018,1,279
Prostate Cancer|Castration Resistant Prostate Cancer|Pain|Prostatic Neoplasms,2012,2,300
Prostate Cancer|Pain,2007,1,200
Prostate Cancer|Pelvic Pain|Incontinence,2007,1,200
Prostatectomy|Pain,2015,1,318
Prostatitis,2005,1,136
Prostatitis|Chronic Prostatitis With Chronic Pelvic Pain Syndrome,2008,2,226
Prostatitis|Chronic Prostatitis|Interstitial Cystitis|Painful Bladder Syndrome|Bladder Pain Syndrome,2013,1,284
"Prostatitis|Cystitis, Interstitial|Urinary Bladder, Overactive|Chronic Pelvic Pain Syndrome|Painful Bladder Syndrome",2006,1,194
Prosthetic Joint Infections,2012,1,300
Protruded Disk,2011,1,283
Provoked Localized Vulvodynia,2015,1,318
Provoked Localized Vulvodynia,2018,1,279
"Provoked, Localized Vulvodynia|Provoked Vestibulodynia|Vulvar Vestibulitis|Vulvodynia",2013,1,284
Psoriasis|Pain,2014,1,328
Psychological Distress,2012,1,300
PTSD|Chronic Musculoskeletal Pain,2019,1,8
PTSD|Chronic Pain,2013,1,284
PTSD|Depression|Chronic Pain|Alcohol Use Disorder|Traumatic Brain Injury,2018,1,279
Pulmonary Hypertension|Pulmonary Arterial Hypertension,2010,1,234
PVD|Arterial Ulcers,2009,1,251
Quadratus Lumborum Block|Surgical Wound Infiltration,2018,1,279
Quality of Life|Breakthrough Cancer Pain,2013,1,284
"Radicular; Neuropathic, Cervical|Neck Pain",2014,1,328
"Radicular; Neuropathic, Lumbar, Lumbosacral|Radicular; Neuropathic, Cervical",2014,1,328
Radiculopathy,2005,2,136
Radiculopathy|Low Back Pain,2011,1,283
Radiculopathy|Lower Extremity Radicular Pain,2012,1,300
Radiculopathy|Neck Pain|Spinal Diseases|Musculoskeletal Diseases|Neuromuscular Diseases|Intervertebral Disk Displacement,2009,1,251
Radiculopathy|Sciatica,2015,1,318
Rapid Progress of Labor,2014,1,328
Raynaud's Disease|Raynaud's Disease Secondary to Scleroderma|Raynaud's Disease Secondary to Autoimmune Disease,2006,1,194
Recurrent Abdominal Pain,2009,1,251
Recurrent Low Back Pain,2015,1,318
Recurrent Low Back Pain,2018,1,279
Recurrent Tonsillitis|Obstructive Sleep Apnea|Sleep Disordered Breathing|Adverse Reaction to Drug,2014,1,328
Recurrent Tonsillitis|Peritonsillar Abscess|Obstructive Sleep Apnea,2012,1,300
Refractory Migraine,2008,1,226
Regional Block for Pain Control|Supraclavicular Block|Ultrasound Guided Block|Block Additive,2012,1,300
Renal Angina|Acute Kidney Injury,2012,1,300
Renal Calculi|Postoperative Pain,2017,1,332
Renal Calculus|Kidney Stones,2008,1,226
Renal Colic,2017,1,332
Renal Colic|Flank Pain|Back Pain,2011,1,283
"Respiration, Artificial|Postoperative Pain|Postoperative Complications",2016,1,316
Respiratory Depression|Postoperative Pain,2010,1,234
Restless Leg Syndrome,2012,1,300
Restless Legs Syndrome|Neuropathic Pain,2016,1,316
Retinal Detachment|Proliferative Vitreoretinopathy|Retinoschisis,2012,1,300
Retraction of Colostomy,2012,2,300
Rheumatoid Arthritis,2005,2,136
Rheumatoid Arthritis,2010,1,234
Rheumatoid Arthritis,2011,2,283
Rheumatoid Arthritis,2013,1,284
Rib Fracture,2008,1,226
"Rib Fracture Multiple|Trauma Chest|Pain, Acute",2018,1,279
Rib Fractures,2009,1,251
"Rib Fractures|Pain, Acute|Thoracic Injuries|Neuropathic Pain|Neuromuscular Blockade|Anesthesia, Local",2018,1,279
Rib Fractures|Wounds and Injuries,2015,1,318
Root Canal Therapy|Persistent Tooth Pain,2010,1,234
Rotator Cuff Repair|Anterior Cruciate Ligament Reconstruction With a Patella Autograph|Ankle Arthrodesis or Arthroplasty|Hallux Valgus Correction,2018,1,279
Rotator Cuff Tear,2005,1,136
Rotator Cuff Tear,2008,1,226
Rotator Cuff Tear,2011,2,283
Rotator Cuff Tear,2015,1,318
Rotator Cuff Tear,2017,1,332
Rotator Cuff Tendonitis|Bicipital Tendonitis|Subdeltoid Bursitis of the Shoulder|Subacromial Bursitis of the Shoulder|Medial Epicondylitis of the Elbow|Lateral Epicondylitis of the Elbow|DeQuervain's Tenosynovitis of the Wrist,2007,1,200
RSD (Reflex Sympathetic Dystrophy)|CRPS - Complex Regional Pain Syndrome Type I|Fibromyalgia,2016,1,316
Rupture of Anterior Cruciate Ligament|Tear of Anterior Cruciate Ligament,2015,1,318
Sacroiliac Injection,2013,1,284
Sacroiliac Joint Dysfunction,2010,1,234
Sacroiliac Joint Pain,2007,1,200
Sacroiliac Joint Pain,2014,1,328
Sacroiliac Joint Pain,2018,1,279
Sacroiliac Joint Pain|Sympathetically Maintained Pain,2011,1,283
Sacroiliac Joint|Pain|Pelvis,2015,1,318
Scheduled Cesarean Sections|Postoperative Pain Management|Side Effects,2011,1,283
Schizophrenia|Psychotic Disorders,2006,1,194
Sciatic Neuropathy|Radiculopathy|Intervertebral Disk Displacement,2006,1,194
Sciatica,2006,1,194
Sciatica,2008,1,226
Sciatica,2009,1,251
Sciatica,2011,1,283
Sciatica,2014,1,328
Sciatica|Lumbosacral Radiculopathy,2013,1,284
Sciatica|Radiculopathy,2011,1,283
